frame_id,mean_dist_px,max_dist_px,worst_kpt_idx,worst_kpt_name,over_2px_count
00000132,1.578,6.484,10,오른손목(RWrist),4
00000133,2.625,23.387,13,왼무릎(LKnee),8
00000134,0.881,2.23,13,왼무릎(LKnee),1
00000135,5.619,60.55,4,오른귀(REar),12
00000136,1.209,2.737,12,오른골반(RHip),7
00000137,2.165,7.952,13,왼무릎(LKnee),11
00000138,27.396,232.705,22,왼새끼발(LSmallToe),19
00000139,3.721,12.965,22,왼새끼발(LSmallToe),13
00000140,12.072,252.811,15,왼발목(LAnkle),8
00000141,3.62,21.93,22,왼새끼발(LSmallToe),13
00000142,1.04,2.701,24,왼발뒤꿈치(LHeel),3
00000143,0.796,1.82,17,머리(Head),0
00000144,15.488,275.492,20,왼엄지발(LBigToe),10
00000145,1.266,6.518,24,왼발뒤꿈치(LHeel),4
00000146,0.685,1.926,12,오른골반(RHip),0
00000147,0.863,1.874,15,왼발목(LAnkle),0
00000148,1.072,3.408,10,오른손목(RWrist),5
00000149,1.069,2.994,12,오른골반(RHip),2
00000150,0.395,1.489,18,목(Neck),0
00000151,0.695,2.25,8,오른팔꿈치(RElbow),1
00000152,0.754,1.39,23,오른새끼발(RSmallToe),0
00000153,1.264,4.088,21,오른엄지발(RBigToe),3
00000154,1.466,8.478,21,오른엄지발(RBigToe),3
00000155,0.675,1.431,25,오른발뒤꿈치(RHeel),0
00000156,0.77,1.632,16,오른발목(RAnkle),0
00000157,0.919,2.842,12,오른골반(RHip),2
00000158,0.673,1.604,20,왼엄지발(LBigToe),0
00000159,0.737,1.501,15,왼발목(LAnkle),0
00000160,0.668,2.433,22,왼새끼발(LSmallToe),1
00000161,0.853,2.076,22,왼새끼발(LSmallToe),2
00000162,0.831,1.559,17,머리(Head),0
00000163,0.908,2.336,12,오른골반(RHip),1
00000164,1.168,2.467,6,오른어깨(RShoulder),2
00000165,1.099,3.227,22,왼새끼발(LSmallToe),2
00000166,1.43,4.042,8,오른팔꿈치(RElbow),4
00000167,1.137,2.486,8,오른팔꿈치(RElbow),4
00000168,1.328,3.855,25,오른발뒤꿈치(RHeel),5
00000169,2.154,27.97,4,오른귀(REar),5
00000170,0.919,3.114,17,머리(Head),3
00000171,0.622,1.408,20,왼엄지발(LBigToe),0
00000172,1.319,3.897,17,머리(Head),6
00000173,1.169,5.068,21,오른엄지발(RBigToe),3
00000174,1.197,4.474,15,왼발목(LAnkle),5
00000175,0.546,2.325,10,오른손목(RWrist),1
00000176,1.047,5.627,25,오른발뒤꿈치(RHeel),4
00000177,2.193,8.311,25,오른발뒤꿈치(RHeel),10
00000178,1.127,2.354,24,왼발뒤꿈치(LHeel),3
00000179,3.323,42.483,10,오른손목(RWrist),5
00000180,1.063,6.583,10,오른손목(RWrist),2
00000181,1.478,5.467,25,오른발뒤꿈치(RHeel),3
00000182,0.775,2.012,25,오른발뒤꿈치(RHeel),1
00000183,1.127,4.02,21,오른엄지발(RBigToe),3
00000184,0.95,2.407,10,오른손목(RWrist),1
00000185,1.069,2.384,22,왼새끼발(LSmallToe),2
00000186,0.985,2.047,21,오른엄지발(RBigToe),2
00000187,0.873,2.143,13,왼무릎(LKnee),2
00000188,1.008,2.52,17,머리(Head),2
00000189,1.246,7.703,10,오른손목(RWrist),3
00000190,1.062,2.79,4,오른귀(REar),4
00000191,0.599,1.811,12,오른골반(RHip),0
00000192,0.608,1.702,10,오른손목(RWrist),0
00000193,0.792,1.972,10,오른손목(RWrist),0
00000194,0.91,1.918,4,오른귀(REar),0
00000195,0.618,1.691,12,오른골반(RHip),0
00000196,0.88,3.2,22,왼새끼발(LSmallToe),2
00000197,1.124,3.61,4,오른귀(REar),2
00000198,0.668,1.438,20,왼엄지발(LBigToe),0
00000199,0.934,1.961,20,왼엄지발(LBigToe),0
00000200,0.585,1.27,17,머리(Head),0
00000201,1.34,4.238,24,왼발뒤꿈치(LHeel),5
00000202,0.538,1.382,11,왼골반(LHip),0
00000203,0.672,1.892,22,왼새끼발(LSmallToe),0
00000204,0.469,1.708,6,오른어깨(RShoulder),0
00000205,0.585,1.682,24,왼발뒤꿈치(LHeel),0
00000206,0.766,1.432,19,엉덩이(Hip),0
00000207,0.618,1.227,12,오른골반(RHip),0
00000208,0.73,1.395,4,오른귀(REar),0
00000209,1.2,2.486,14,오른무릎(RKnee),4
00000210,0.646,1.322,8,오른팔꿈치(RElbow),0
00000211,0.55,1.296,8,오른팔꿈치(RElbow),0
00000212,0.755,1.694,22,왼새끼발(LSmallToe),0
00000213,1.341,5.416,22,왼새끼발(LSmallToe),5
00000214,0.971,2.897,20,왼엄지발(LBigToe),3
00000215,0.888,2.089,10,오른손목(RWrist),1
00000216,0.778,1.519,23,오른새끼발(RSmallToe),0
00000217,0.996,2.837,25,오른발뒤꿈치(RHeel),1
00000218,0.672,2.565,4,오른귀(REar),2
00000219,2.767,7.245,10,오른손목(RWrist),13
00000220,0.601,1.387,21,오른엄지발(RBigToe),0
00000221,0.913,3.422,10,오른손목(RWrist),1
00000222,4.156,90.781,10,오른손목(RWrist),1
00000223,0.784,1.699,10,오른손목(RWrist),0
00000224,0.815,1.989,5,왼어깨(LShoulder),0
00000225,0.735,1.704,9,왼손목(LWrist),0
00000226,1.306,4.787,23,오른새끼발(RSmallToe),5
00000227,0.913,1.82,4,오른귀(REar),0
00000228,0.474,1.539,12,오른골반(RHip),0
00000229,0.497,3.26,12,오른골반(RHip),1
00000230,0.761,2.676,21,오른엄지발(RBigToe),2
00000231,0.887,3.3,9,왼손목(LWrist),1
00000232,0.692,2.226,2,오른눈(REye),1
00000233,1.203,13.306,9,왼손목(LWrist),2
00000234,7.264,148.324,23,오른새끼발(RSmallToe),7
00000235,1.339,6.548,7,왼팔꿈치(LElbow),5
00000236,1.141,2.652,20,왼엄지발(LBigToe),5
00000237,18.8,211.466,23,오른새끼발(RSmallToe),7
00000238,1.372,11.013,7,왼팔꿈치(LElbow),3
00000239,12.532,154.676,25,오른발뒤꿈치(RHeel),3
00000240,0.944,5.437,7,왼팔꿈치(LElbow),2
00000241,1.29,6.732,7,왼팔꿈치(LElbow),5
00000242,7.79,158.058,22,왼새끼발(LSmallToe),5
